year,imports_usd,gdp_usd,gdp_per_capita_usd,population,inflation_pct,fdi_inflows_usd,manufacturing_share_pct,trade_share_pct,lag_1_exports_usd,lag_1_imports_usd,lag_1_export_growth_pct,region,income_level
2005,318700000000.0,385714762230.039,36809.7013403619,10478617.0,2.78143263670022,33662010793.5663,15.8709459755849,144.529050669983,306866000000.0,285621000000.0,20.04913601208058,Europe & Central Asia,High income
2010,5700000000.0,22583157894.7368,4058.53937000739,5564356.0,,3632300000.0,,96.8630558404027,5000000000.0,6800000000.0,-58.14148179154458,Europe & Central Asia,Upper middle income
2003,1616000000.0,8082399639.54305,893.013760211149,9050700.0,3.33727499671534,197400000.0,12.7844476107651,51.967836443987,1299000000.0,1775000000.0,1.0894941634241206,Latin America & Caribbean ,Lower middle income
2013,8554000000.0,20146416757.5987,637.087099117099,31622704.0,7.38577178397855,48311346.0,11.4998672561905,,429000000.0,9069000000.0,14.095744680851062,"Middle East, North Africa, Afghanistan & Pakistan",Low income
2012,766000000.0,1913081210.41411,3736.81517011087,511955.0,2.54039644167109,128009964.769676,4.6413002429543,90.649916554117,69000000.0,947000000.0,56.81818181818181,Sub-Saharan Africa ,Upper middle income
2006,26424000000.0,111538810712.665,26654.5932018985,4184600.0,3.36540196171993,2912645686.56863,13.3101555777773,59.6032650403479,21730000000.0,26219000000.0,6.812819504522216,East Asia & Pacific,High income
2004,4715000000.0,23510575681.3686,1199.82524528546,19595000.0,1.45798835600741,282979830.0,8.79290482659688,58.1182963035946,5788000000.0,3279000000.0,9.72511848341233,Sub-Saharan Africa ,Lower middle income
2011,3665000000.0,18210307743.5816,10219.1139339454,1781985.0,1.26331707837421,1123536918.98497,19.1528007507603,90.4983773331323,8686000000.0,2983000000.0,62.173263629574315,Sub-Saharan Africa ,Upper middle income
2009,352241000000.0,214047795659.045,30697.5383861641,6972800.0,0.579441418472608,54275707074.2543,1.73054612188073,348.397554309339,370242000000.0,392962000000.0,5.969329051536132,East Asia & Pacific,High income
2007,11301000000.0,32350238760.4239,1578.63451125392,20492545.0,15.8421114924843,603000000.0,18.4979243789903,68.6065116601391,6886000000.0,10258000000.0,8.492201039861346,South Asia,Lower middle income
2012,8805000000.0,25503060420.026,1710.05061343728,14913629.0,6.57589970757698,1731500000.0,7.07581325081866,75.367709855907,9001000000.0,7178000000.0,25.013888888888893,Sub-Saharan Africa ,Lower middle income
2016,9753000000.0,36089700222.9546,5775.15963399596,6249126.0,4.08682280577241,819354145.915891,19.0612407979699,67.7593152322119,8357000000.0,10291000000.0,-13.273142382731429,Latin America & Caribbean ,Upper middle income
2001,50556000000.0,109346669229.695,28282.409882073,3866243.0,4.85280279607477,9650920350.0,25.2498702300992,174.840711101871,77413000000.0,51041000000.0,,Europe & Central Asia,High income
2003,462000000.0,2023324407.28414,355.097216151461,5697945.0,15.4893529233525,19484000.8001106,9.81210926959904,60.572095882788,301000000.0,447000000.0,-5.937499999999996,East Asia & Pacific,Lower middle income
2011,64097000000.0,234216730291.32,2383.91892522087,98248614.0,4.7184170471842,2007150725.40003,21.704326952574,60.7958366999075,51498000000.0,58468000000.0,33.98376522010616,East Asia & Pacific,Lower middle income
2014,9211000000.0,49516748617.9775,1275.43835449219,38823318.0,36.9066427863595,1251280889.37784,,20.8451090041313,4790000000.0,9918000000.0,17.806197737333985,Sub-Saharan Africa ,Low income
2004,5827000000.0,8869299234.3377,1215.13995412761,7298994.0,8.1137909709338,592120092.945896,19.1572527591598,135.461758741854,3754000000.0,4774000000.0,0.24032042723631797,Latin America & Caribbean ,Lower middle income
2002,1135000000.0,5335451099.88223,3966.48001864663,1345135.0,0.0366828893971394,1160708.31013769,2.67453927337973,84.7590815376223,2524000000.0,1002000000.0,-2.8483448806774447,Sub-Saharan Africa ,Upper middle income
2006,11915000000.0,29744246827.1839,2225.1234753878,13367459.0,6.56085282795384,635300000.0,19.0348018186148,67.9119237396616,5381000000.0,10499000000.0,6.850675138999196,Latin America & Caribbean ,Upper middle income
2010,193184000000.0,2208838108484.35,11403.2840038694,193701929.0,5.03872690108075,82389932468.07,12.7218596106307,22.7721781132208,151792000000.0,135378000000.0,-22.462135723954745,Latin America & Caribbean ,Upper middle income
